#mission_id	user_id	place_id	date	duration	mode	conf	co2
0	421	55	2013-03-20	10	car	False	0.20033
1	614	194	2013-03-08	16	other	False	0.01214
2	253	201	2013-03-28	18	train	False	0.01214
3	154	250	2013-03-17	75	other	False	0.14678
4	310	101	2013-03-19	14	train	False	0.01214
5	132	274	2013-03-26	38	plane	False	0.14678
6	469	101	2013-03-19	18	train	False	0.01214
7	371	274	2013-03-26	34	plane	False	0.14678
8	371	201	2013-03-20	30	train	False	0.01214
9	154	201	2013-03-22	15	train	False	0.01214
10	143	201	2013-04-29	89	plane	False	0.16508
11	143	201	2013-03-22	13	other	False	0.01214
12	331	412	2013-06-09	108	other	False	0.14678
13	331	201	2013-04-28	102	other	False	0.01214
14	614	110	2013-04-02	87	car	False	0.20033
15	210	570	2013-06-22	203	plane	False	0.13712
16	345	285	2013-04-15	30	other	False	0.14678
17	345	201	2013-04-28	17692	train	False	0.01214
18	85	201	2013-04-28	100	train	False	0.01214
19	143	201	2013-04-15	11	other	False	0.01214
20	143	220	2013-04-16	17	other	False	0.01214
21	76	293	2013-04-02	57	other	False	0.01214
22	76	55	2013-03-25	12	car	False	0.20033
23	76	260	2013-04-22	14	plane	False	0.16508
24	143	201	2013-04-11	16	other	False	0.01214
25	617	191	2013-03-28	13	other	False	0.01214
26	154	201	2013-03-28	18	train	False	0.01214
27	310	201	2013-04-27	110	train	False	0.01214
28	210	201	2013-04-29	72	train	False	0.01214
29	210	201	2013-05-03	55	train	False	0.01214
30	66	110	2013-04-02	89	car	False	0.20033
31	210	201	2013-03-26	24	other	False	0.01214
32	548	201	2013-04-29	87	train	False	0.01214
33	253	201	2013-04-26	146	train	False	0.01214
34	8	19	2013-03-29	6	car	False	0.20033
35	310	201	2013-04-17	41	train	False	0.01214
36	301	201	2013-04-28	100	other	False	0.01214
37	384	201	2013-04-26	147	train	False	0.01214
38	504	201	2013-04-28	100	train	False	0.01214
39	330	147	2013-05-21	15	other	False	0.01214
40	330	147	2013-05-29	31	other	False	0.01214
41	614	432	2013-05-21	76	plane	False	0.14678
42	371	201	2013-04-19	15	train	False	0.01214
43	154	201	2013-04-19	15	train	False	0.01214
44	371	201	2013-05-28	79	train	False	0.01214
45	525	201	2013-04-24	16	train	False	0.01214
46	76	287	2013-07-09	83	train	True	0.01214
47	8	201	2013-04-29	36	train	False	0.01214
48	548	430	2013-06-09	82	plane	False	0.14678
49	518	430	2013-06-09	82	plane	False	0.14678
50	301	430	2013-06-09	82	plane	False	0.14678
51	371	201	2013-05-21	53	train	False	0.01214
52	287	430	2013-06-09	82	plane	False	0.14678
53	132	210	2013-05-19	128	plane	False	0.14678
54	132	201	2013-05-29	64	train	False	0.01214
55	8	19	2013-04-24	6	car	False	0.20033
56	379	201	2013-04-26	193	train	False	0.01214
57	617	228	2013-05-21	17	other	False	0.01214
58	617	99	2013-05-29	16	other	False	0.01214
59	345	146	2013-05-21	33	other	False	0.01214
60	330	256	2013-05-26	42	other	False	0.01214
61	143	220	2013-05-15	50	other	False	0.01214
62	143	201	2013-05-21	74	other	False	0.01214
63	143	191	2013-05-07	13	other	False	0.01214
64	143	147	2013-05-14	15	plane	False	0.16508
65	143	162	2013-05-29	17	other	False	0.01214
66	85	341	2013-06-24	155	plane	False	0.14678
67	205	287	2013-05-26	272	other	False	0.14678
68	143	147	2013-06-11	14	other	False	0.01214
69	534	201	2013-05-29	105	train	False	0.01214
70	205	243	2013-05-23	31	other	False	0.01214
71	48	201	2013-05-29	63	train	False	0.01214
72	345	412	2013-06-09	109	plane	False	0.14678
73	76	54	2013-05-31	12	car	False	0.20033
74	253	55	2013-06-17	79	train	False	0.01214
75	525	55	2013-06-17	84	train	False	0.01214
76	154	170	2013-05-29	52	plane	False	0.16508
77	310	170	2013-05-29	49	plane	False	0.16508
78	617	368	2013-06-16	106	plane	False	0.14678
79	154	287	2013-06-18	41	other	False	0.14678
80	484	201	2013-05-29	65	train	False	0.01214
81	534	54	2013-06-04	28	train	False	0.01214
82	216	472	2013-06-11	86	plane	False	0.14678
83	216	147	2013-07-10	15	other	False	0.01214
84	507	368	2013-06-16	105	plane	False	0.14678
85	395	368	2013-06-16	106	plane	False	0.14678
86	143	150	2013-06-04	126	train	False	0.01214
87	576	201	2013-06-20	9	train	False	0.01214
88	85	473	2013-06-09	172	plane	False	0.14678
89	15	277	2013-06-16	78	train	False	0.01214
90	26	346	2013-08-25	144	plane	False	0.14678
91	283	671	2013-06-24	1666	other	False	0.13712
92	283	558	2013-08-24	180	other	False	0.13712
93	345	245	2013-07-09	48	plane	False	0.14678
94	154	245	2013-07-09	53	plane	False	0.14678
